TZ1;t1;TZ2;t2;TZ3;t3;TZ4;t4;TZ5;t5;TZ6;t6;TZ7;t7;TZ8;t8;TZ9;t9;TP1;TP2;TP3;TP4;TP5;TP6;TP7;TP8;TP9;index
655;20;660;20;665;20;670;20;675;20;680;20;685;20;690;20;695;20;246.35;419.03;538.82;608.64;645.73;665.46;676.97;684.79;691.02;1
653;20;658;20;663;20;668;20;673;20;678;20;683;20;688;20;693;20;244.48;416.08;535.67;605.76;643.18;663.15;674.8;682.7;688.96;2
655;20;665;20;675;20;685;20;695;20;705;20;715;20;725;20;735;20;246.35;423.26;548.56;623.39;664.96;689.11;705.21;717.82;728.98;3
655;20;665;20;675;20;685;20;695;20;705;20;715;20;715;20;715;20;246.35;423.26;548.56;623.39;664.96;689.11;705.21;711.19;713.52;4
630;20;660;20;690;20;710;20;710;20;710;20;710;20;710;20;710;20;223.63;403.5;548.69;640.67;681.61;698.68;705.54;708.25;709.31;5
660;20;660;20;660;20;660;20;660;20;660;20;660;20;660;20;660;20;251.1;422.23;537.07;601.28;633.14;647.97;654.66;657.64;658.96;6
670;20;680;20;690;20;690;20;690;20;690;20;690;20;700;20;705;20;260.79;445.78;572.25;637.74;667.8;680.75;686.18;694.79;701.11;7
670;20;680;20;690;20;690;20;690;20;690;20;690;20;700;20;705;20;260.79;445.78;572.25;637.74;667.8;680.75;686.18;694.79;701.11;8
695;20;690;20;685;20;680;20;675;20;670;20;665;20;660;20;655;20;286.19;470.86;581.97;635.82;657.71;664.48;664.59;661.83;657.84;9
330;20;335;20;340;20;345;20;350;20;355;20;360;20;365;20;370;20;61.007;96.371;130.91;164.09;195.43;224.5;250.97;274.7;295.68;10
360;20;360;20;360;20;360;20;360;20;360;20;360;20;360;20;360;20;69.835;111.34;150.07;185.41;216.93;244.37;267.71;287.15;303.04;11
370;20;345;20;345;20;345;20;340;20;340;20;335;20;330;20;325;20;73.066;109.61;144.39;176.25;203.49;227.58;247.08;262.48;274.27;12
730;20;735;20;740;20;745;20;750;20;755;20;760;20;765;20;770;20;324.61;535.01;654.91;710.94;735.99;748.45;756.17;762.16;767.53;13
770;20;765;20;760;20;755;20;750;20;745;20;740;20;735;20;730;20;372.58;589.76;694.02;732.59;743.55;744.29;741.36;737.14;732.46;14
453;20;458;20;463;20;468;20;473;20;478;20;483;20;488;20;493;20;106.18;180.07;247.98;307.32;356.51;395.45;425.23;447.59;464.36;15
571.25;20;585;20;598.75;20;607.5;20;611.25;20;615;20;618.75;20;625;20;630;20;176.56;310.7;423.98;505.42;555.77;585.2;602.35;614.29;622.71;16
665;20;670;20;675;20;678;20;682;20;685;20;690;20;694;20;697;20;255.91;433.91;554.56;621.56;655.85;672.78;683.04;689.66;694.13;17
641.25;20;642.5;20;643.75;20;644.5;20;645.5;20;646.25;20;647.5;20;648.5;20;649.25;20;233.65;395.9;510.02;577.47;613.19;630.94;639.97;644.66;647.2;18
665;20;680;20;683;20;687;20;690;20;693;20;695;20;697;20;698;20;255.91;442.58;565.08;632.53;665.62;681.76;689.66;694.09;696.46;19
654;20;669;20;672;20;676;20;679;20;682;20;684;20;686;20;687;20;245.41;426.05;547.74;616.92;651.88;669.27;677.88;682.69;685.25;20
643;20;658;20;661;20;665;20;682;20;685;20;687;20;689;20;690;20;235.24;409.79;530.36;601.09;647;668.93;679.52;685.15;688.04;21
564;20;569;20;574;20;579;20;584;20;589;20;594;20;599;20;604;20;171.35;295.64;397.54;472.04;521.68;553.05;572.81;585.78;595;22
630;20;645;20;648;20;652;20;676;20;679;20;681;20;683;20;684;20;223.63;390.95;509.81;582.1;634.61;659.86;672.09;678.49;681.73;23
661;20;664;20;666;20;667;20;679;20;688;20;697;20;698;20;699;20;252.05;426.24;543.66;609.05;648.63;671.69;686.96;693.56;696.84;24
660;20;663;20;666;20;670;20;673;20;676;20;680;20;683;20;686;20;251.1;424.75;542.83;610.64;645.37;662.86;672.87;678.85;683.14;25
